data	swinia	probla	pH	pCO2(mmHg)	p02(mmHg)	cHCO3-(mmol/L)	BE(ecf)(mmol/L)	cSO2(%)	Na+(mmol/L)	K+(mmol/L)	Ca++(mmol/L)	Cl-(mmol/L)	cTCO2(mmol/L)	Agap(mmol/L)	AgapK(mmol/L)	Hct(%)	cHgb(g/dL)	BE(b)(mmol/L)	Glu(mg/dL)	Lac(mmol/L)	Crea(mg/dL)
27.11.18	4	13	7.421	54.8	148.5	35.6	11.2	99.3	147	3.9	1.33	104	37.3	7	11	25	8.5	9.9	202	1.17	1.28
27.11.18	4	12	7.433	45.8	88.3	30.6	6.3	97	149	3.6	1.23	109	32	9	13	23	7.8	5.7	180	1.19	1.12
27.11.18	4	11	7.399	58.6	80.3	36.2	11.4	95.3	146	3.9	1.35	104	38	6	10	27	9	9	218	1.45	1.41
27.11.18	4	10	7.418	53.7	114.9	34.7	10.2	98.5	148	3.7	1.33	105	36.3	8	12	25	8.5	9	208	1.14	1.22
27.11.18	4	9	7.378	55.6	68.9	32.7	7.6	92.6	149	3.5	1.26	106	34.4	10	14	23	7.8	6.7	182	1.18	1.32
27.11.18	4	8	7.419	55.9	139.7	36.2	11.7	99.1	148	4	1.35	103	37.9	9	13	26	8.8	10.3	215	1.13	1.35
27.11.18	4	7	7.432	54	105.8	36	11.7	98.1	145	3.9	1.34	103	37.7	6	10	26	9	10.4	215	1.25	1.44
27.11.18	4	6	7.55	40.4	145.1	35.4	13	99.5	146	4	1.33	104	36.6	7	11	27	9.1	11.9	218	1.24	1.32
27.11.18	4	5	7.493	44.7	90.3	34.3	11	97.6	146	4	1.33	101	35.7	11	15	25	8.7	10	216	1.29	1.39
27.11.18	4	4	7.512	42.1	164.6	33.7	10.7	99.6	146	3.9	1.3	103	35	9	13	25	8.6	9.8	198	1.15	1.2
27.11.18	4	3	7.451	50.7	124.2	35.3	11.4	98.9	145	4	1.33	103	36.9	7	11	25	8.6	10.2	202	1.16	1.26
27.11.18	4	2	7.358	65.1	77.2	36.6	11.1	94.1	146	4	1.35	103	38.6	6	10	26	8.8	9.6	195	1.2	1.35
27.11.18	4	1	7.367	58.4	11.3	33.5	8.2	98	147	3.7	1.3	104	35.3	10	13	23	7.8	7.2	188	1.02	1.18
27.11.18	4	0	7.361	58.2	54.9	32.9	7.5	86	143	3.7	1.44	104	34.7	6	10	29	10	6.3	87	1.87	1.57
26.11.18	3	13	7.366	67.1	55.9	38.5	13.1	86.2	139	4.6	1.25	96	40.5	5	9	27	9.1	11.3	71	1.11	2.06
26.11.18	3	12	7.533	35.1	267.5	29.5	6.8	99.9	112	7.1	1.01	79	30.6	4	11	21	7.1	6.4	66	0.73	1.53
